averating,brand,dimension,frcolor,img,interface,keycap,led,logilayout,model,name,nreviews,physlayout,price,rollover,size,sku,switch,weight 
,Ducky,"14.37"" x 5.31"" x 1.57""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1687S-USPDWWW1_main.jpg,USB,Primary: White Double Shot ABS with Backlit (clear) legends,White,ANSI,One,Ducky One TKL White Case White LED Double Shot ABS Mechanical Keyboard,0,US QWERTY,$95.00,Full,Tenkeyless,DKON1687S-PUSPDWWW1,Cherry MX Silver,2.09 lbs
4.3,Leopold,"12.79"" x 4.29"" x 1.26""",White,https://mechanicalkeyboards.com/shop/images/products/large_FC660MLEWPD_main.jpg,USB,Primary: White Double Shot PBT with Black legends,n/a,ANSI,FC660M,Leopold FC660M Two Tone White PD 60% Double Shot PBT Mechanical Keyboard,3,US QWERTY,$114.00,Full,60%,FC660MS/EWPD,Cherry MX Silent Red,1.54 lbs
,Filco,"3.50"" x 5.30"" x 1.60""",Green,https://mechanicalkeyboards.com/shop/images/products/large_2549_FTKP22_C.jpg,USB,Primary: Multi UV Printed ABS with White legends,n/a,ANSI,Majestouch Numpad,Filco Majestouch Numpad Camouflage R Mechanical Keyboard,0,US QWERTY,$69.00,6,Other,FTKP22M/CR2,Cherry MX Brown,0.70 lbs
,Filco,"3.50"" x 5.30"" x 1.60""",Green,https://mechanicalkeyboards.com/shop/images/products/large_2549_FTKP22_C.jpg,USB,Primary: Multi UV Printed ABS with White legends,n/a,ANSI,Majestouch Numpad,Filco Majestouch Numpad Camouflage R Mechanical Keyboard,0,US QWERTY,$69.00,6,Other,FTKP22MC/CR2,Cherry MX Blue,0.70 lbs
,Keycool,"17.25"" x 5.25"" x 1.25""",White,https://mechanicalkeyboards.com/shop/images/products/large_1440_White-104-1.JPG,USB,Primary: White Double Shot ABS with Backlit (clear) legends,RGB,ANSI,104,Keycool 104 White Case RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$99.00,Full,Full Size,K104G-BWW-ATE,Kailh Brown,2.00 lbs
,Keycool,"17.25"" x 5.25"" x 1.25""",White,https://mechanicalkeyboards.com/shop/images/products/large_1440_White-104-1.JPG,USB,Primary: White Double Shot ABS with Backlit (clear) legends,RGB,ANSI,104,Keycool 104 White Case RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$99.00,Full,Full Size,K104G-CWW-ATE,Kailh Blue,2.00 lbs
,Rantopad,"15.15"" x 4.88"" x 1.73""",Blue,https://mechanicalkeyboards.com/shop/images/products/large_1653_MXX-Blue-1.jpg,USB,Primary: Black Laser Etched ABS with Backlit (clear) legends,White,ANSI,MXX,Rantopad MXX Blue Case White LED  TKL Mechanical Keyboard,0,US QWERTY,$54.00,Full,Tenkeyless,MXX_Blue_Blue,Gateron Blue,1.70 lbs
,KBParadise,"14.10"" x 5.30"" x 1.40""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2366_V80_Dasher1.jpg,USB,Primary: Multi Double Shot ABS with White legends,n/a,ANSI,V80,KBParadise V80 Dasher TKL Double Shot ABS Mechanical Keyboard,0,US QWERTY,$109.00,Full,Tenkeyless,KBP-V80-B-DS,Cherry MX Brown,2.70 lbs
,KBParadise,"14.10"" x 5.30"" x 1.40""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2366_V80_Dasher1.jpg,USB,Primary: Multi Double Shot ABS with White legends,n/a,ANSI,V80,KBParadise V80 Dasher TKL Double Shot ABS Mechanical Keyboard,0,US QWERTY,$114.00,Full,Tenkeyless,KBP-V80-SS-DS,Cherry MX Silver,2.70 lbs
,KBParadise,"14.10"" x 5.30"" x 1.40""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2366_V80_Dasher1.jpg,USB,Primary: Multi Double Shot ABS with White legends,n/a,ANSI,V80,KBParadise V80 Dasher TKL Double Shot ABS Mechanical Keyboard,0,US QWERTY,$119.00,Full,Tenkeyless,KBP-V80-W-DS,Cherry MX Clear,2.70 lbs
,Mechanical Keyboards Inc,"11.85"" x 5.00"" x 1.30""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_2480_HoSG_1.png,USB,Primary: Black Laser Engraved ABS with Backlit (clear) legends,Multi,ANSI,Shadow Guard,MK Shadow Guard Light Multi LED  60% Mechanical Keyboard,0,US QWERTY,$109.00,Full,60%,DK1461D-RUSALASZ2,Cherry MX Red,2.00 lbs
3.0,KBParadise,"17.80"" x 6.40"" x 1.80""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1777_V100Oli1.jpg,USB,Primary: Multi Double Shot ABS with Blue legends,n/a,ANSI,V100,KBParadise V100 Olivette Double Shot ABS Mechanical Keyboard,1,US QWERTY,$113.00,6,Full Size,KBP-V100K2-B-OLI,Cherry MX Brown,2.80 lbs
,KBParadise,"17.80"" x 6.40"" x 1.80""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1779_V100Carbon1.jpg,USB,Primary: Gray Double Shot ABS with Black legends,n/a,ANSI,V100,KBParadise V100 Carbon Black Double Shot ABS Mechanical Keyboard,0,US QWERTY,$113.00,6,Full Size,KBP-V100K2-B-CB,Cherry MX Brown,2.80 lbs
,Filco,"3.50"" x 5.30"" x 1.60""",White,https://mechanicalkeyboards.com/shop/images/products/large_2547_FTKP22_W.jpg,USB,Primary: White Laser Etched ABS with Gray legends,n/a,ANSI,Majestouch Numpad,Filco Majestouch Numpad HAKUA Mechanical Keyboard,0,US QWERTY,$69.00,6,Other,FTKP22M/MW2,Cherry MX Brown,0.70 lbs
,Filco,"3.50"" x 5.30"" x 1.60""",White,https://mechanicalkeyboards.com/shop/images/products/large_2547_FTKP22_W.jpg,USB,Primary: White Laser Etched ABS with Gray legends,n/a,ANSI,Majestouch Numpad,Filco Majestouch Numpad HAKUA Mechanical Keyboard,0,US QWERTY,$69.00,6,Other,FTKP22MPS/MW2,Cherry MX Silent Red,0.70 lbs
5.0,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-BUSPDWWW1_main.jpg,Micro USB,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,One,Ducky One White Case White LED Double Shot PBT Mechanical Keyboard,1,US QWERTY,$99.00,Full,Full Size,DKON1608S-BUSPDWWW1,Cherry MX Brown,2.87 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87MN2WLLPbQWA_main.png,Mini USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,VA87M,Varmilo VA87M Chicken Dinner TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$129.00,Full,Tenkeyless,VA87MN2W/LLPbQW/A,Cherry MX Brown,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87MN2WLLPbQWA_main.png,Mini USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,VA87M,Varmilo VA87M Chicken Dinner TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$129.00,Full,Tenkeyless,VA87MC2W/LLPbQW/A,Cherry MX Blue,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87MN2WLLPbQWA_main.png,Mini USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,VA87M,Varmilo VA87M Chicken Dinner TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$139.00,Full,Tenkeyless,VA87MS2W/LLPbQW/A,Cherry MX Silver,2.41 lbs
4.0,Mechanical Keyboards Inc,"17.32"" x 5.51"" x 1.61""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MKNightTypist_main.png,USB-C,Primary: Black Double Shot PBT with Backlit (clear) legends,White,ANSI,Typist,MK Night Typist Warm White LED Backlit Double Shot PBT Mechanical Keyboard,1,US QWERTY,$109.00,Full,Full Size,NTypistA-MK0818TA,Cherry MX Blue,2.87 lbs
5.0,Filco,"3.50"" x 5.30"" x 1.60""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2545_FTKP22_B.jpg,USB,Primary: Black Laser Printed ABS with White legends,n/a,ANSI,Majestouch Numpad,Filco Majestouch Numpad Mechanical Keyboard,1,US QWERTY,$69.00,6,Other,FTKP22M/B2,Cherry MX Brown,0.70 lbs
,Mistel,"14.17"" x 5.51"" x 0.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MD870-AUSPDWWT1_main.jpg,USB-C,Primary: White Dye Sub PBT with Black legends,White,ANSI,Sleeker,Mistel Sleeker Silver White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$164.99,Full,Tenkeyless,MD870-AUSPDWWT1,Cherry MX Black,2.43 lbs
,Mistel,"14.17"" x 5.51"" x 0.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MD870-AUSPDWWT1_main.jpg,USB-C,Primary: White Dye Sub PBT with Black legends,White,ANSI,Sleeker,Mistel Sleeker Silver White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$164.99,Full,Tenkeyless,MD870-BUSPDWWT1,Cherry MX Brown,2.43 lbs
,Mistel,"14.17"" x 5.51"" x 0.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MD870-AUSPDWWT1_main.jpg,USB-C,Primary: White Dye Sub PBT with Black legends,White,ANSI,Sleeker,Mistel Sleeker Silver White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$164.99,Full,Tenkeyless,MD870-CUSPDWWT1,Cherry MX Blue,2.43 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Black Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBBLK,Cherry MX Black,3.06 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Black Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBBLE,Cherry MX Blue,3.06 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Black Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBBRN,Cherry MX Brown,3.06 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Black Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBRED,Cherry MX Red,3.06 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBEBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Blue Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBEBLK,Cherry MX Black,3.06 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBEBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Blue Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBEBLE,Cherry MX Blue,3.06 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBEBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Blue Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBEBRN,Cherry MX Brown,3.06 lbs
3.5,Mistel,"12.05"" x 4.10"" x 0.59""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MD650L-USACAA1_main.jpg,Mini USB,Alphas: Beige Dye Sub ABS with Gray legends,n/a,ANSI,MD650L,Mistel MD650L Black Case Dye Sub ABS Mechanical Keyboard,2,US QWERTY,$159.00,Full,Other,MD650L-LUSMGAB1,Cherry ML,1.73 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-BUSPDWWW1_main.jpg,Micro USB,Primary: White Double Shot PBT with Backlit (clear) legends,n/a,ANSI,One,Ducky One White Case Double Shot PBT Mechanical Keyboard,0,US QWERTY,$89.00,Full,Full Size,DKON1608-AUSPDWWW1,Cherry MX Black,2.87 lbs
5.0,KBParadise,"14.10"" x 5.30"" x 1.40""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1603_12768374_1328440697181400_8983110652986045940_o.jpg,USB,Primary: Black Laser Engraved ABS with White legends,n/a,ANSI,V80,KBParadise V80 Front Print TKL Mechanical Keyboard,1,US QWERTY,$109.00,Full,Tenkeyless,KBP-V80-SS-BK-FP,Cherry MX Silver,2.07 lbs
4.0,Rantopad,"15.15"" x 4.88"" x 1.73""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_1655_MXX-GunMetal-1.JPG,USB,Primary: Black Laser Etched ABS with Backlit (clear) legends,White,ANSI,MXX,Rantopad MXX Gunmetal Case White LED  TKL Mechanical Keyboard,2,US QWERTY,$54.00,Full,Tenkeyless,MXX_Gunmetal_Red,Gateron Red,1.70 lbs
,Mistel,"11.70"" x 4.90"" x 1.60""",White,https://mechanicalkeyboards.com/shop/images/products/large_1920_mistelwhite_1.jpg,USB,Primary: White Laser Engraved PBT with Gray legends,n/a,ANSI,Barocco,Mistel Barocco White 60% Laser Engraved PBT Mechanical Keyboard,0,US QWERTY,$154.00,Full,60%,MD600-AUSPLWWA1,Cherry MX Black,1.10 lbs
,Mistel,"11.70"" x 4.90"" x 1.60""",White,https://mechanicalkeyboards.com/shop/images/products/large_1920_mistelwhite_1.jpg,USB,Primary: White Laser Engraved PBT with Gray legends,n/a,ANSI,Barocco,Mistel Barocco White 60% Laser Engraved PBT Mechanical Keyboard,0,US QWERTY,$154.00,Full,60%,MD600-BUSPLWWA1,Cherry MX Brown,1.10 lbs
3.0,Vortex,"11.78"" x 4.72"" x 1.54""",Black,https://mechanicalkeyboards.com/shop/images/products/large_3066_BlackBlue_1.JPG,USB,Primary: Black Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R Black LE Blue Border RGB LED  60% Double Shot PBT Mechanical Keyboard,1,US QWERTY,$169.00,Full,60%,VTG61USACBBEBLK,Cherry MX Black,3.06 lbs
,Topre,"17.95"" x 6.65"" x 1.54""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2876_104UH_1.jpg,USB,Primary: Gray Dye Sub PBT with Black legends,n/a,ANSI,Realforce 104U,Topre Realforce 104U Hi-Pro Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$259.00,6,Full Size,YK2100,Topre 45g,3.09 lbs
,Keycool,"17.25"" x 5.25"" x 1.25""",White,https://mechanicalkeyboards.com/shop/images/products/large_1440_White-104-1.JPG,USB,Primary: White Double Shot ABS with Backlit (clear) legends,RGB,ANSI,104,Keycool 104 White Case RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$99.00,Full,Full Size,K104G-RWW-ATE,Kailh Red,2.00 lbs
,Rantopad,"15.15"" x 4.88"" x 1.73""",Blue,https://mechanicalkeyboards.com/shop/images/products/large_1653_MXX-Blue-1.jpg,USB,Primary: Black Laser Etched ABS with Backlit (clear) legends,White,ANSI,MXX,Rantopad MXX Blue Case White LED  TKL Mechanical Keyboard,0,US QWERTY,$54.00,Full,Tenkeyless,MXX_Blue_Red,Gateron Red,1.70 lbs
3.0,KBParadise,"17.80"" x 6.40"" x 1.80""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1777_V100Oli1.jpg,USB,Primary: Multi Double Shot ABS with Blue legends,n/a,ANSI,V100,KBParadise V100 Olivette Double Shot ABS Mechanical Keyboard,1,US QWERTY,$113.00,6,Full Size,KBP-V100K2-C-OLI,Cherry MX Blue,2.80 lbs
,KBParadise,"17.80"" x 6.40"" x 1.80""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1779_V100Carbon1.jpg,USB,Primary: Gray Double Shot ABS with Black legends,n/a,ANSI,V100,KBParadise V100 Carbon Black Double Shot ABS Mechanical Keyboard,0,US QWERTY,$113.00,6,Full Size,KBP-V100K2-C-CB,Cherry MX Blue,2.80 lbs
,KBParadise,"17.80"" x 6.40"" x 1.80""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1779_V100Carbon1.jpg,USB,Primary: Gray Double Shot ABS with Black legends,n/a,ANSI,V100,KBParadise V100 Carbon Black Double Shot ABS Mechanical Keyboard,0,US QWERTY,$113.00,6,Full Size,KBP-V100K2-R-CB,Cherry MX Red,2.80 lbs
5.0,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-BUSPDWWW1_main.jpg,Micro USB,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,One,Ducky One White Case White LED Double Shot PBT Mechanical Keyboard,1,US QWERTY,$99.00,Full,Full Size,DKON1608S-AUSPDWWW1,Cherry MX Black,2.87 lbs
5.0,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-BUSPDWWW1_main.jpg,Micro USB,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,One,Ducky One White Case White LED Double Shot PBT Mechanical Keyboard,1,US QWERTY,$99.00,Full,Full Size,DKON1608S-CUSPDWWW1,Cherry MX Blue,2.87 lbs
5.0,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-BUSPDWWW1_main.jpg,Micro USB,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,One,Ducky One White Case White LED Double Shot PBT Mechanical Keyboard,1,US QWERTY,$99.00,Full,Full Size,DKON1608S-RUSPDWWW1,Cherry MX Red,2.87 lbs
5.0,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-BUSPDWWW1_main.jpg,Micro USB,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,One,Ducky One White Case White LED Double Shot PBT Mechanical Keyboard,1,US QWERTY,$99.00,Full,Full Size,DKON1608S-PUSPDWWW1,Cherry MX Silver,2.87 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87MN2WLLPbQWA_main.png,Mini USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,VA87M,Varmilo VA87M Chicken Dinner TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$139.00,Full,Tenkeyless,VA87MP2W/LLPbQW/A,Cherry MX Silent Red,2.41 lbs
4.0,Mechanical Keyboards Inc,"17.32"" x 5.51"" x 1.61""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MKNightTypist_main.png,USB-C,Primary: Black Double Shot PBT with Backlit (clear) legends,White,ANSI,Typist,MK Night Typist Warm White LED Backlit Double Shot PBT Mechanical Keyboard,1,US QWERTY,$109.00,Full,Full Size,NTypistB-MK0818TB,Cherry MX Brown,2.87 lbs
4.0,Mechanical Keyboards Inc,"17.32"" x 5.51"" x 1.61""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MKNightTypist_main.png,USB-C,Primary: Black Double Shot PBT with Backlit (clear) legends,White,ANSI,Typist,MK Night Typist Warm White LED Backlit Double Shot PBT Mechanical Keyboard,1,US QWERTY,$114.00,Full,Full Size,NTypistC-MK0818TC,Cherry MX Silent Red,2.87 lbs
5.0,Filco,"3.50"" x 5.30"" x 1.60""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2545_FTKP22_B.jpg,USB,Primary: Black Laser Printed ABS with White legends,n/a,ANSI,Majestouch Numpad,Filco Majestouch Numpad Mechanical Keyboard,1,US QWERTY,$69.00,6,Other,FTKP22MPS/B2,Cherry MX Silent Red,0.70 lbs
,Mistel,"14.17"" x 5.51"" x 0.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MD870-AUSPDWWT1_main.jpg,USB-C,Primary: White Dye Sub PBT with Black legends,White,ANSI,Sleeker,Mistel Sleeker Silver White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$164.99,Full,Tenkeyless,MD870-RUSPDWWT1,Cherry MX Red,2.43 lbs
,Mistel,"14.17"" x 5.51"" x 0.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MD870-AUSPDWWT1_main.jpg,USB-C,Primary: White Dye Sub PBT with Black legends,White,ANSI,Sleeker,Mistel Sleeker Silver White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$164.99,Full,Tenkeyless,MD870-WUSPDWWT1,Cherry MX Clear,2.43 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Black Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBSLV,Cherry MX Silver,3.06 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBEBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Blue Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBERED,Cherry MX Red,3.06 lbs
,Vortex,"11.78"" x 4.72"" x 1.54""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG61USACSBEBLK_main.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,POK3R,Vortex POK3R White LE Blue Border RGB LED  60% Double Shot PBT Mechanical Keyboard,0,US QWERTY,$169.00,Full,60%,VTG61USACSBESLV,Cherry MX Silver,3.06 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-BUSPDWWW1_main.jpg,Micro USB,Primary: White Double Shot PBT with Backlit (clear) legends,n/a,ANSI,One,Ducky One White Case Double Shot PBT Mechanical Keyboard,0,US QWERTY,$89.00,Full,Full Size,DKON1608-BUSPDWWW1,Cherry MX Brown,2.87 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-BUSPDWWW1_main.jpg,Micro USB,Primary: White Double Shot PBT with Backlit (clear) legends,n/a,ANSI,One,Ducky One White Case Double Shot PBT Mechanical Keyboard,0,US QWERTY,$89.00,Full,Full Size,DKON1608-CUSPDWWW1,Cherry MX Blue,2.87 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-BUSPDWWW1_main.jpg,Micro USB,Primary: White Double Shot PBT with Backlit (clear) legends,n/a,ANSI,One,Ducky One White Case Double Shot PBT Mechanical Keyboard,0,US QWERTY,$89.00,Full,Full Size,DKON1608-RUSPDWWW1,Cherry MX Red,2.87 lbs
5.0,KBParadise,"14.10"" x 5.30"" x 1.40""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1603_12768374_1328440697181400_8983110652986045940_o.jpg,USB,Primary: Black Laser Engraved ABS with White legends,n/a,ANSI,V80,KBParadise V80 Front Print TKL Mechanical Keyboard,1,US QWERTY,$119.00,Full,Tenkeyless,KBP-V80-MTSQ-FP,Matias Quiet Click,2.07 lbs
,KBParadise,"14.10"" x 5.30"" x 1.40""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2369_V80_Dancer1.jpg,USB,Primary: Multi Double Shot ABS with White legends,n/a,ANSI,V80,KBParadise V80 Dancer TKL Double Shot ABS Mechanical Keyboard,0,US QWERTY,$109.00,Full,Tenkeyless,KBP-V80-B-DN,Cherry MX Brown,2.70 lbs
4.0,Rantopad,"15.15"" x 4.88"" x 1.73""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_1655_MXX-GunMetal-1.JPG,USB,Primary: Black Laser Etched ABS with Backlit (clear) legends,White,ANSI,MXX,Rantopad MXX Gunmetal Case White LED  TKL Mechanical Keyboard,2,US QWERTY,$54.00,Full,Tenkeyless,MXX_Gunmetal_Blue,Gateron Blue,1.70 lbs
,Keycool,"17.25"" x 5.25"" x 1.25""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1437_ql1RzQ6eVQdleJcBgKOGxD5gC5EltI2Yw_e6mhzgVkx2eh-LhuooffWpqMVPTnGqdt-NOg=w1886-h833.jpg,USB,Primary: Black Double Shot ABS with Backlit (clear) legends,RGB,ANSI,104,Keycool 104 Black Case RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$99.00,Full,Full Size,K104G-BBB-ATE,Kailh Brown,2.00 lbs
,Filco,"17.40"" x 5.50"" x 1.60""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_1839_Camo1.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,Majestouch 2,Filco Majestouch 2 Camouflage Mechanical Keyboard,0,UK QWERTY,$169.00,Full,Full Size,FKBN104M/EMU2,Cherry MX Brown,2.70 lbs
,Filco,"17.40"" x 5.50"" x 1.60""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_1839_Camo1.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,Majestouch 2,Filco Majestouch 2 Camouflage Mechanical Keyboard,0,UK QWERTY,$169.00,Full,Full Size,FKBN104ML/EMU2,Cherry MX Black,2.70 lbs
,Filco,"17.40"" x 5.50"" x 1.60""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_1839_Camo1.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,Majestouch 2,Filco Majestouch 2 Camouflage Mechanical Keyboard,0,UK QWERTY,$169.00,Full,Full Size,FKBN104MC/EMU2,Cherry MX Blue,2.70 lbs
,Filco,"17.40"" x 5.50"" x 1.60""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_1839_Camo1.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,Majestouch 2,Filco Majestouch 2 Camouflage Mechanical Keyboard,0,UK QWERTY,$169.00,Full,Full Size,FKBN104MRL/EMU2,Cherry MX Red,2.70 lbs
,Varmilo,"14.00"" x 5.00"" x 1.35""",White,https://mechanicalkeyboards.com/shop/images/products/large_2773_VA87MRainbowTKL_1.jpg,USB,Primary: White Dye Sub PBT with Multi legends,White,ANSI,VA87M,Varmilo VA87M Rainbow White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$139.00,6,Tenkeyless,VA87ML2W/WWMCV,Cherry MX Black,2.41 lbs
